joint_pos, joint_vel_desired, joint_vel_filtered, current_time
6.39159e-05,3.06438e-07,0,0.004
6.32249e-05,1.22525e-06,-7.6699e-05,0.008
6.42613e-05,2.75568e-06,7.24039e-05,0.012
6.42613e-05,4.89696e-06,4.02566e-05,0.016
6.42613e-05,7.64836e-06,2.23826e-05,0.02
6.35704e-05,1.10091e-05,-6.42543e-05,0.024
6.35704e-05,1.49784e-05,-3.57254e-05,0.028
6.35704e-05,1.95556e-05,-1.98633e-05,0.032
6.35704e-05,2.47399e-05,-1.1044e-05,0.036
6.35704e-05,3.05305e-05,-6.14046e-06,0.04
6.35704e-05,3.69266e-05,-3.4141e-06,0.044
6.35704e-05,4.39276e-05,-1.89824e-06,0.048
6.35704e-05,5.15327e-05,-1.05542e-06,0.052
6.35704e-05,5.9741e-05,-5.86814e-07,0.056
6.35704e-05,6.85519e-05,-3.26268e-07,0.06
6.35704e-05,7.79646e-05,-1.81405e-07,0.064
6.35704e-05,8.79784e-05,-1.00861e-07,0.068
6.35704e-05,9.85924e-05,-5.60789e-08,0.072
6.35704e-05,0.000109806,-3.11799e-08,0.076
6.35704e-05,0.000121618,-1.7336e-08,0.08
6.35704e-05,0.000134029,-9.63882e-09,0.084
6.35704e-05,0.000147036,-5.35918e-09,0.088
6.35704e-05,0.00016064,-2.97971e-09,0.092
6.35704e-05,0.00017484,-1.65672e-09,0.096
6.35704e-05,0.000189635,-9.21135e-10,0.1
6.35704e-05,0.000205024,-5.12151e-10,0.104
6.35704e-05,0.000221007,-2.84756e-10,0.108
6.35704e-05,0.000237582,-1.58324e-10,0.112
6.35704e-05,0.00025475,-8.80283e-11,0.116
6.35704e-05,0.000272508,-4.89437e-11,0.12
6.35704e-05,0.000290857,-2.72127e-11,0.124
6.35704e-05,0.000309796,-1.51303e-11,0.128
6.35704e-05,0.000329324,-8.41243e-12,0.132
6.35704e-05,0.00034944,-4.67731e-12,0.136
6.35704e-05,0.000370143,-2.60058e-12,0.14
6.35704e-05,0.000391433,-1.44592e-12,0.144
6.35704e-05,0.000413309,-8.03934e-13,0.148
6.35704e-05,0.000435771,-4.46987e-13,0.152
6.35704e-05,0.000458816,-2.48525e-13,0.156
6.35704e-05,0.000482446,-1.3818e-13,0.16
6.35704e-05,0.000506658,-7.6828e-14,0.164
6.35704e-05,0.000531452,-4.27164e-14,0.168
6.35704e-05,0.000556828,-2.37503e-14,0.172
6.35704e-05,0.000582785,-1.32052e-14,0.176
6.35704e-05,0.000609321,-7.34208e-15,0.18
6.35704e-05,0.000636437,-4.08219e-15,0.184
6.35704e-05,0.000664131,-2.2697e-15,0.188
6.35704e-05,0.000692403,-1.26195e-15,0.192
6.35704e-05,0.000721251,-7.01646e-16,0.196
6.35704e-05,0.000750676,-3.90115e-16,0.2
6.35704e-05,0.000780676,-2.16904e-16,0.204
6.35704e-05,0.000811251,-1.20599e-16,0.208
6.35704e-05,0.000842399,-6.70528e-17,0.212
6.35704e-05,0.000874121,-3.72814e-17,0.216
6.35704e-05,0.000906415,-2.07284e-17,0.22
6.35704e-05,0.000939281,-1.1525e-17,0.224
6.35704e-05,0.000972717,-6.40791e-18,0.228
6.35704e-05,0.00100672,-3.5628e-18,0.232
6.35704e-05,0.0010413,-1.98092e-18,0.236
6.35704e-05,0.00107644,-1.10139e-18,0.24
6.35704e-05,0.00111216,-6.12372e-19,0.244
6.35704e-05,0.00114844,-3.40479e-19,0.248
6.35704e-05,0.00118528,-1.89306e-19,0.252
6.35704e-05,0.00122269,-1.05254e-19,0.256
6.35704e-05,0.00126067,-5.85214e-20,0.26
6.35704e-05,0.00129921,-3.25379e-20,0.264
6.35704e-05,0.00133831,-1.80911e-20,0.268
6.35704e-05,0.00137798,-1.00586e-20,0.272
6.35704e-05,0.00141821,-5.5926e-21,0.276
6.35704e-05,0.001459,-3.10949e-21,0.28
6.35704e-05,0.00150035,-1.72887e-21,0.284
6.35704e-05,0.00154226,-9.61254e-22,0.288
6.35704e-05,0.00158472,-5.34457e-22,0.292
6.35704e-05,0.00162775,-2.97158e-22,0.296
6.35704e-05,0.00167133,-1.6522e-22,0.3
6.35704e-05,0.00171547,-9.18623e-23,0.304
6.35704e-05,0.00176017,-5.10755e-23,0.308
6.35704e-05,0.00180542,-2.8398e-23,0.312
6.35704e-05,0.00185122,-1.57893e-23,0.316
6.35704e-05,0.00189758,-8.77883e-24,0.32
6.35704e-05,0.00194449,-4.88103e-24,0.324
6.35704e-05,0.00199196,-2.71385e-24,0.328
6.35704e-05,0.00203997,-1.5089e-24,0.332
6.32249e-05,0.00208854,-3.83495e-05,0.336
6.35704e-05,0.00213765,1.70272e-05,0.34
6.35704e-05,0.00218732,9.46711e-06,0.344
6.35704e-05,0.00223753,5.26372e-06,0.348
6.35704e-05,0.00228829,2.92663e-06,0.352
6.35704e-05,0.00233959,1.6272e-06,0.356
6.35704e-05,0.00239145,9.04725e-07,0.36
6.35704e-05,0.00244384,5.03027e-07,0.364
6.35704e-05,0.00249678,2.79683e-07,0.368
6.35704e-05,0.00255027,1.55504e-07,0.372
6.35704e-05,0.0026043,8.64601e-08,0.376
6.35704e-05,0.00265887,4.80718e-08,0.38
6.35704e-05,0.00271398,2.67279e-08,0.384
6.35704e-05,0.00276964,1.48607e-08,0.388
6.35704e-05,0.00282583,8.26257e-09,0.392
6.35704e-05,0.00288256,4.59399e-09,0.396
6.35704e-05,0.00293983,2.55426e-09,0.4
6.35704e-05,0.00299764,1.42017e-09,0.404
6.35704e-05,0.00305599,7.89613e-10,0.408
6.35704e-05,0.00311487,4.39025e-10,0.412
6.35704e-05,0.00317429,2.44098e-10,0.416
6.35704e-05,0.00323424,1.35718e-10,0.42
6.35704e-05,0.00329472,7.54594e-11,0.424
6.35704e-05,0.00335574,4.19554e-11,0.428
6.35704e-05,0.00341729,2.33272e-11,0.432
6.35704e-05,0.00347938,1.29699e-11,0.436
6.35704e-05,0.00354199,7.21128e-12,0.44
6.35704e-05,0.00360514,4.00947e-12,0.444
6.35704e-05,0.00366881,2.22927e-12,0.448
6.35704e-05,0.00373301,1.23947e-12,0.452
6.35704e-05,0.00379774,6.89147e-13,0.456
6.35704e-05,0.003863,3.83166e-13,0.46
6.35704e-05,0.00392879,2.1304e-13,0.464
6.35704e-05,0.0039951,1.1845e-13,0.468
6.35704e-05,0.00406193,6.58584e-14,0.472
6.35704e-05,0.00412929,3.66172e-14,0.476
6.35704e-05,0.00419717,2.03592e-14,0.48
6.35704e-05,0.00426558,1.13197e-14,0.484
6.35704e-05,0.0043345,6.29376e-15,0.488
6.35704e-05,0.00440395,3.49933e-15,0.492
6.35704e-05,0.00447392,1.94563e-15,0.496
6.35704e-05,0.00454441,1.08177e-15,0.5
6.35704e-05,0.00461542,6.01463e-16,0.504
