joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, current_time
0.372963,0.371067,-3.06438e-07,0,-1,0.004
0.372963,0.371072,-1.22525e-06,0.000613592,-1,0.008
0.372963,0.371074,-2.75568e-06,0.000494555,-1,0.012
0.372963,0.371074,-4.89696e-06,0.000274973,-1,0.016
0.372963,0.371073,-7.64836e-06,0.000114535,-1,0.02
0.372963,0.371073,-1.10091e-05,6.36816e-05,-1,0.024
0.372963,0.371073,-1.49784e-05,3.5407e-05,-1,0.028
0.372963,0.371073,-1.95556e-05,1.96863e-05,-1,0.032
0.372963,0.371073,-2.47399e-05,1.09456e-05,-1,0.036
0.372963,0.371074,-3.05305e-05,4.44353e-05,-1,0.04
0.372962,0.371073,-3.69266e-05,-1.36435e-05,-1,0.044
0.372962,0.371073,-4.39276e-05,-7.58579e-06,-1,0.048
0.372962,0.371073,-5.15327e-05,-4.2177e-06,-1,0.052
0.372962,0.371073,-5.9741e-05,-2.34504e-06,-1,0.056
0.372962,0.371074,-6.85519e-05,3.70457e-05,-1,0.06
0.372961,0.371073,-7.79646e-05,-1.77521e-05,-1,0.064
0.372961,0.371073,-8.79784e-05,-9.87018e-06,-1,0.068
0.372961,0.371073,-9.85924e-05,-5.48782e-06,-1,0.072
0.37296,0.371073,-0.000109806,-3.05123e-06,-1,0.076
0.37296,0.371074,-0.000121618,3.6653e-05,-1,0.08
0.372959,0.371073,-0.000134029,-1.79704e-05,-1,0.084
0.372959,0.371074,-0.000147036,2.8358e-05,-1,0.088
0.372958,0.371073,-0.00016064,-2.25825e-05,-1,0.092
0.372957,0.371074,-0.00017484,2.57936e-05,-1,0.096
0.372957,0.371073,-0.000189635,-2.40082e-05,-1,0.1
0.372956,0.371073,-0.000205024,-1.33486e-05,-1,0.104
0.372955,0.371073,-0.000221007,-7.42181e-06,-1,0.108
0.372954,0.371073,-0.000237582,-4.12653e-06,-1,0.112
0.372953,0.371073,-0.00025475,-2.29435e-06,-1,0.116
0.372952,0.371073,-0.000272508,-1.27566e-06,-1,0.12
0.372951,0.371073,-0.000290857,-7.09266e-07,-1,0.124
0.37295,0.371073,-0.000309796,-3.94352e-07,-1,0.128
0.372948,0.371073,-0.000329324,-2.1926e-07,-1,0.132
0.372947,0.371073,-0.00034944,-1.21908e-07,-1,0.136
0.372946,0.371073,-0.000370143,-6.77811e-08,-1,0.14
0.372944,0.371073,-0.000391433,-3.76863e-08,-1,0.144
0.372943,0.371073,-0.000413309,-2.09536e-08,-1,0.148
0.372941,0.371073,-0.000435771,-1.16502e-08,-1,0.152
0.372939,0.371073,-0.000458816,-6.4775e-09,-1,0.156
0.372937,0.371073,-0.000482446,-3.60149e-09,-1,0.16
0.372935,0.371073,-0.000506658,-2.00243e-09,-1,0.164
0.372933,0.371073,-0.000531452,-1.11335e-09,-1,0.168
0.372931,0.371073,-0.000556828,-6.19023e-10,-1,0.172
0.372929,0.371073,-0.000582785,-3.44177e-10,-1,0.176
0.372926,0.371073,-0.000609321,-1.91362e-10,-1,0.18
0.372924,0.371073,-0.000636437,-1.06397e-10,-1,0.184
0.372921,0.371073,-0.000664131,-5.9157e-11,-1,0.188
0.372918,0.371073,-0.000692403,-3.28913e-11,-1,0.192
0.372916,0.371073,-0.000721251,-1.82875e-11,-1,0.196
0.372913,0.371073,-0.000750676,-1.01679e-11,-1,0.2
0.37291,0.371073,-0.000780676,-5.65334e-12,-1,0.204
0.372906,0.371073,-0.000811251,-3.14326e-12,-1,0.208
0.372903,0.371073,-0.000842399,-1.74765e-12,-1,0.212
0.3729,0.371073,-0.000874121,-9.71694e-13,-1,0.216
0.372896,0.371073,-0.000906415,-5.40262e-13,-1,0.22
0.372892,0.371073,-0.000939281,-3.00385e-13,-1,0.224
0.372889,0.371073,-0.000972717,-1.67014e-13,-1,0.228
0.372885,0.371073,-0.00100672,-9.286e-14,-1,0.232
0.372881,0.371073,-0.0010413,-5.16301e-14,-1,0.236
0.372876,0.371073,-0.00107644,-2.87064e-14,-1,0.24
0.372872,0.371073,-0.00111216,-1.59607e-14,-1,0.244
0.372867,0.371073,-0.00114844,-8.87417e-15,-1,0.248
0.372863,0.371073,-0.00118528,-4.93404e-15,-1,0.252
0.372858,0.371073,-0.00122269,-2.74332e-15,-1,0.256
0.372853,0.371073,-0.00126067,-1.52529e-15,-1,0.26
0.372848,0.371073,-0.00129921,-8.48061e-16,-1,0.264
0.372843,0.371073,-0.00133831,-4.71522e-16,-1,0.268
0.372837,0.371073,-0.00137798,-2.62166e-16,-1,0.272
0.372832,0.371073,-0.00141821,-1.45764e-16,-1,0.276
0.372826,0.371073,-0.001459,-8.1045e-17,-1,0.28
0.37282,0.371073,-0.00150035,-4.5061e-17,-1,0.284
0.372814,0.371073,-0.00154226,-2.50539e-17,-1,0.288
0.372808,0.371073,-0.00158472,-1.393e-17,-1,0.292
0.372801,0.371073,-0.00162775,-7.74507e-18,-1,0.296
0.372795,0.371073,-0.00167133,-4.30626e-18,-1,0.3
0.372788,0.371073,-0.00171547,-2.39428e-18,-1,0.304
0.372781,0.371073,-0.00176017,-1.33122e-18,-1,0.308
0.372774,0.371073,-0.00180542,-7.40158e-19,-1,0.312
0.372766,0.371073,-0.00185122,-4.11528e-19,-1,0.316
0.372759,0.371073,-0.00189758,-2.28809e-19,-1,0.32
0.372751,0.371073,-0.00194449,-1.27218e-19,-1,0.324
0.372743,0.371073,-0.00199196,-7.07332e-20,-1,0.328
0.372735,0.371073,-0.00203997,-3.93277e-20,-1,0.332
0.372727,0.371073,-0.00208854,-2.18662e-20,-1,0.336
0.372719,0.371073,-0.00213765,-1.21576e-20,-1,0.34
0.37271,0.371073,-0.00218732,-6.75963e-21,-1,0.344
0.372701,0.371073,-0.00223753,-3.75835e-21,-1,0.348
0.372692,0.371073,-0.00228829,-2.08964e-21,-1,0.352
0.372683,0.371073,-0.00233959,-1.16184e-21,-1,0.356
0.372673,0.371073,-0.00239145,-6.45984e-22,-1,0.36
0.372664,0.371073,-0.00244384,-3.59167e-22,-1,0.364
0.372654,0.371073,-0.00249678,-1.99697e-22,-1,0.368
0.372644,0.371073,-0.00255027,-1.11032e-22,-1,0.372
0.372633,0.371073,-0.0026043,-6.17335e-23,-1,0.376
0.372623,0.371073,-0.00265887,-3.43238e-23,-1,0.38
0.372612,0.371073,-0.00271398,-1.90841e-23,-1,0.384
0.372601,0.371073,-0.00276964,-1.06107e-23,-1,0.388
0.37259,0.371073,-0.00282583,-5.89957e-24,-1,0.392
0.372578,0.371074,-0.00288256,3.83495e-05,-1,0.396
0.372567,0.371073,-0.00293983,-1.70272e-05,-1,0.4
0.372555,0.371073,-0.00299764,-9.46711e-06,-1,0.404
0.372543,0.371073,-0.00305599,-5.26372e-06,-1,0.408
0.372531,0.371074,-0.00311487,3.54229e-05,-1,0.412
0.372518,0.371073,-0.00317429,-1.86544e-05,-1,0.416
0.372505,0.371073,-0.00323424,-1.03718e-05,-1,0.42
0.372492,0.371073,-0.00329472,-5.76674e-06,-1,0.424
0.372479,0.371073,-0.00335574,-3.20631e-06,-1,0.428
0.372465,0.371073,-0.00341729,-1.78271e-06,-1,0.432
0.372451,0.371073,-0.00347938,-9.91186e-07,-1,0.436
0.372437,0.371073,-0.00354199,-5.51099e-07,-1,0.44
0.372423,0.371073,-0.00360514,-3.06411e-07,-1,0.444
0.372409,0.371073,-0.00366881,-1.70365e-07,-1,0.448
0.372394,0.371073,-0.00373301,-9.47227e-08,-1,0.452
0.372379,0.371073,-0.00379774,-5.26658e-08,-1,0.456
0.372363,0.371074,-0.003863,3.83202e-05,-1,0.46
0.372348,0.371073,-0.00392879,-1.70435e-05,-1,0.464
0.372332,0.371073,-0.0039951,-9.47617e-06,-1,0.468
0.372316,0.371074,-0.00406193,3.30808e-05,-1,0.472
0.372299,0.371073,-0.00412929,-1.99566e-05,-1,0.476
0.372283,0.371073,-0.00419717,-1.10959e-05,-1,0.48
0.372266,0.371073,-0.00426558,-6.16931e-06,-1,0.484
0.372249,0.371073,-0.0043345,-3.43013e-06,-1,0.488
0.372231,0.371073,-0.00440395,-1.90715e-06,-1,0.492
0.372213,0.371074,-0.00447392,3.72891e-05,-1,0.496
0.372195,0.371073,-0.00454441,-1.76168e-05,-1,0.5
0.372177,0.371073,-0.00461542,-9.79491e-06,-1,0.504
0.372158,0.371073,-0.00468694,-5.44597e-06,-1,0.508
0.37214,0.371073,-0.00475899,-3.02796e-06,-1,0.512
0.37212,0.371073,-0.00483154,-1.68355e-06,-1,0.516
0.372101,0.371074,-0.00490462,3.74135e-05,0,0.52
0.372081,0.371073,-0.00497821,-1.75476e-05,0,0.524
0.372061,0.371073,-0.00505232,-9.75648e-06,0,0.528
0.372041,0.371073,-0.00512693,-5.4246e-06,0,0.532
0.37202,0.371073,-0.00520207,-3.01608e-06,0,0.536
0.371999,0.371073,-0.00527771,-1.67694e-06,0,0.54
0.371978,0.371073,-0.00535387,-9.32379e-07,0,0.544
0.371956,0.371073,-0.00543053,-5.18403e-07,0,0.548
0.371934,0.371073,-0.00550771,-2.88232e-07,0,0.552
0.371912,0.371073,-0.00558539,-1.60257e-07,0,0.556
0.37189,0.371073,-0.00566358,-8.91028e-08,0,0.56
0.371867,0.371073,-0.00574229,-4.95412e-08,0,0.564
0.371844,0.371073,-0.00582149,-2.75449e-08,0,0.568
0.37182,0.371073,-0.00590121,-1.5315e-08,0,0.572
0.371797,0.371073,-0.00598143,-8.51512e-09,0,0.576
0.371772,0.371073,-0.00606215,-4.73441e-09,0,0.58
0.371748,0.371073,-0.00614338,-2.63233e-09,0,0.584
0.371723,0.371073,-0.00622511,-1.46358e-09,0,0.588
0.371698,0.371073,-0.00630734,-8.13748e-10,0,0.592
0.371673,0.371073,-0.00639008,-4.52444e-10,0,0.596
0.371647,0.371073,-0.00647331,-2.51559e-10,0,0.6
0.371621,0.371073,-0.00655705,-1.39867e-10,0,0.604
0.371595,0.371073,-0.00664129,-7.77659e-11,0,0.608
0.371568,0.371073,-0.00672602,-4.32378e-11,0,0.612
0.371541,0.371073,-0.00681125,-2.40402e-11,0,0.616
0.371513,0.371073,-0.00689698,-1.33664e-11,0,0.62
0.371486,0.371073,-0.00698321,-7.4317e-12,0,0.624
0.371458,0.371073,-0.00706993,-4.13203e-12,0,0.628
0.371429,0.371073,-0.00715714,-2.29741e-12,0,0.632
0.3714,0.371073,-0.00724485,-1.27736e-12,0,0.636
0.371371,0.371073,-0.00733306,-7.10211e-13,0,0.64
0.371342,0.371073,-0.00742175,-3.94877e-13,0,0.644
0.371312,0.371073,-0.00751094,-2.19552e-13,0,0.648
0.371282,0.371073,-0.00760062,-1.22071e-13,0,0.652
0.371251,0.371073,-0.00769079,-6.78714e-14,0,0.656
0.37122,0.371073,-0.00778145,-3.77365e-14,0,0.66
0.371189,0.371073,-0.0078726,-2.09815e-14,0,0.664
0.371157,0.371073,-0.00796423,-1.16657e-14,0,0.668
0.371125,0.371073,-0.00805636,-6.48613e-15,0,0.672
0.371093,0.371073,-0.00814897,-3.60629e-15,0,0.676
0.37106,0.371073,-0.00824206,-2.0051e-15,0,0.68
0.371027,0.371073,-0.00833565,-1.11483e-15,0,0.684
0.370993,0.371073,-0.00842971,-6.19848e-16,0,0.688
0.370959,0.371073,-0.00852426,-3.44635e-16,0,0.692
0.370925,0.371073,-0.00861929,-1.91617e-16,0,0.696
0.37089,0.371073,-0.00871481,-1.06539e-16,0,0.7
0.370855,0.371073,-0.0088108,-5.92358e-17,0,0.704
0.37082,0.371073,-0.00890728,-3.29351e-17,0,0.708
0.370784,0.371073,-0.00900423,-1.83119e-17,0,0.712
0.370748,0.371073,-0.00910167,-1.01814e-17,0,0.716
0.370711,0.371073,-0.00919958,-5.66087e-18,0,0.72
0.370674,0.371073,-0.00929798,-3.14744e-18,0,0.724
0.370637,0.371073,-0.00939684,-1.74998e-18,0,0.728
0.370599,0.371073,-0.00949619,-9.72988e-19,0,0.732
0.370561,0.371073,-0.00959601,-5.40981e-19,0,0.736
0.370522,0.371073,-0.0096963,-3.00786e-19,0,0.74
0.370483,0.371073,-0.00979707,-1.67237e-19,0,0.744
0.370444,0.371073,-0.00989831,-9.29837e-20,0,0.748
0.370404,0.371073,-0.01,-5.16989e-20,0,0.752
0.370364,0.371073,-0.0101022,-2.87446e-20,0,0.756
0.370323,0.371073,-0.0102049,-1.5982e-20,0,0.76
0.370282,0.371073,-0.010308,-8.88599e-21,0,0.764
0.370241,0.371073,-0.0104116,-4.94061e-21,0,0.768
0.370199,0.371074,-0.0105157,3.83495e-05,0,0.772
0.370157,0.371073,-0.0106202,-1.70272e-05,0,0.776
0.370114,0.371073,-0.0107252,-9.46711e-06,0,0.78
0.370071,0.371073,-0.0108307,-5.26372e-06,0,0.784
0.370027,0.371073,-0.0109366,-2.92663e-06,1,0.788
0.369983,0.371073,-0.011043,-1.6272e-06,1,0.792
0.369939,0.371073,-0.0111498,-9.04725e-07,1,0.796
0.369894,0.371073,-0.0112572,-5.03027e-07,1,0.8
0.369849,0.371073,-0.0113649,-2.79683e-07,1,0.804
0.369803,0.371073,-0.0114732,-1.55504e-07,1,0.808
0.369757,0.371073,-0.0115819,-8.64601e-08,1,0.812
0.369711,0.371073,-0.0116911,-4.80718e-08,1,0.816
0.369664,0.371073,-0.0118007,-2.67279e-08,1,0.82
0.369616,0.371073,-0.0119108,-1.48607e-08,1,0.824
0.369568,0.371073,-0.0120213,-8.26257e-09,1,0.828
0.36952,0.371073,-0.0121323,-4.59399e-09,1,0.832
0.369471,0.371073,-0.0122438,-2.55426e-09,1,0.836
0.369422,0.371073,-0.0123557,-1.42017e-09,1,0.84
0.369372,0.371073,-0.0124681,-7.89613e-10,1,0.844
0.369322,0.371073,-0.0125809,-4.39025e-10,1,0.848
0.369272,0.371073,-0.0126942,-2.44098e-10,1,0.852
0.369221,0.371073,-0.0128079,-1.35718e-10,1,0.856
0.369169,0.371073,-0.0129221,-7.54594e-11,1,0.86
0.369117,0.371073,-0.0130368,-4.19554e-11,1,0.864
0.369065,0.371073,-0.0131518,-2.33272e-11,1,0.868
0.369012,0.371073,-0.0132674,-1.29699e-11,1,0.872
0.368959,0.371073,-0.0133834,-7.21128e-12,2,0.876
0.368905,0.371073,-0.0134998,-4.00947e-12,2,0.88
0.368851,0.371073,-0.0136167,-2.22927e-12,2,0.884
0.368796,0.371073,-0.013734,-1.23947e-12,2,0.888
0.368741,0.371073,-0.0138518,-6.89147e-13,2,0.892
0.368685,0.371073,-0.01397,-3.83166e-13,2,0.896
0.368629,0.371073,-0.0140887,-2.1304e-13,2,0.9
0.368573,0.371073,-0.0142078,-1.1845e-13,2,0.904
0.368516,0.371073,-0.0143273,-6.58584e-14,2,0.908
0.368458,0.371073,-0.0144473,-3.66172e-14,2,0.912
0.3684,0.371073,-0.0145678,-2.03592e-14,2,0.916
0.368341,0.371073,-0.0146886,-1.13197e-14,2,0.92
0.368282,0.371073,-0.01481,-6.29376e-15,2,0.924
0.368223,0.371073,-0.0149317,-3.49933e-15,2,0.928
