joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, current_time
-1.095,-1.09538,-3.06438e-07,0,0,0.004
-1.095,-1.09538,-1.22525e-06,0,0,0.008
-1.095,-1.09538,-2.75568e-06,0,0,0.012
-1.095,-1.09538,-4.89696e-06,0,0,0.016
-1.095,-1.09538,-7.64836e-06,0,0,0.02
-1.095,-1.09538,-1.10091e-05,0,0,0.024
-1.095,-1.09538,-1.49784e-05,0,0,0.028
-1.095,-1.09538,-1.95556e-05,0,0,0.032
-1.095,-1.09538,-2.47399e-05,3.83495e-05,0,0.036
-1.095,-1.09538,-3.05305e-05,2.13223e-05,0,0.04
-1.095,-1.09538,-3.69266e-05,1.18552e-05,0,0.044
-1.095,-1.09538,-4.39276e-05,6.5915e-06,0,0.048
-1.095,-1.09538,-5.15327e-05,3.66487e-06,0,0.052
-1.095,-1.09538,-5.9741e-05,2.03767e-06,0,0.056
-1.095,-1.09538,-6.85519e-05,1.13294e-06,0,0.06
-1.095,-1.09538,-7.79646e-05,6.29917e-07,0,0.064
-1.095,-1.09538,-8.79784e-05,3.50234e-07,0,0.068
-1.095,-1.09538,-9.85924e-05,1.9473e-07,0,0.072
-1.095,-1.09538,-0.000109806,1.0827e-07,0,0.076
-1.095,-1.09538,-0.000121618,6.01981e-08,0,0.08
-1.095,-1.09538,-0.000134029,3.34701e-08,0,0.084
-1.095,-1.09538,-0.000147036,1.86094e-08,0,0.088
-1.095,-1.09538,-0.00016064,1.03468e-08,0,0.092
-1.09501,-1.09538,-0.00017484,5.75283e-09,0,0.096
-1.09501,-1.09538,-0.000189635,3.19857e-09,0,0.1
-1.09501,-1.09538,-0.000205024,1.77841e-09,0,0.104
-1.09501,-1.09538,-0.000221007,9.88795e-10,0,0.108
-1.09501,-1.09538,-0.000237582,5.4977e-10,0,0.112
-1.09501,-1.09538,-0.00025475,3.05672e-10,0,0.116
-1.09501,-1.09538,-0.000272508,1.69954e-10,0,0.12
-1.09501,-1.09538,-0.000290857,9.44942e-11,0,0.124
-1.09501,-1.09538,-0.000309796,5.25388e-11,0,0.128
-1.09501,-1.09538,-0.000329324,2.92116e-11,0,0.132
-1.09502,-1.09538,-0.00034944,1.62416e-11,0,0.136
-1.09502,-1.09538,-0.000370143,9.03035e-12,0,0.14
-1.09502,-1.09538,-0.000391433,5.02087e-12,0,0.144
-1.09502,-1.09538,-0.000413309,2.79161e-12,0,0.148
-1.09502,-1.09538,-0.000435771,1.55213e-12,0,0.152
-1.09502,-1.09538,-0.000458816,8.62986e-13,0,0.156
-1.09503,-1.09538,-0.000482446,4.7982e-13,0,0.16
-1.09503,-1.09538,-0.000506658,2.6678e-13,0,0.164
-1.09503,-1.09538,-0.000531452,1.4833e-13,0,0.168
-1.09503,-1.09538,-0.000556828,8.24713e-14,0,0.172
-1.09503,-1.09538,-0.000582785,4.5854e-14,0,0.176
-1.09504,-1.09538,-0.000609321,2.54948e-14,0,0.18
-1.09504,-1.09538,-0.000636437,1.41751e-14,0,0.184
-1.09504,-1.09538,-0.000664131,7.88137e-15,0,0.188
-1.09504,-1.09538,-0.000692403,4.38204e-15,0,0.192
-1.09505,-1.09538,-0.000721251,2.43642e-15,0,0.196
-1.09505,-1.09538,-0.000750676,1.35465e-15,0,0.2
-1.09505,-1.09538,-0.000780676,7.53184e-16,0,0.204
-1.09506,-1.09538,-0.000811251,4.1877e-16,0,0.208
-1.09506,-1.09538,-0.000842399,2.32836e-16,0,0.212
-1.09506,-1.09538,-0.000874121,7.6699e-05,0,0.216
-1.09507,-1.09538,-0.000906415,-3.40544e-05,0,0.22
-1.09507,-1.09538,-0.000939281,-1.89342e-05,0,0.224
-1.09507,-1.09538,-0.000972717,-4.88769e-05,0,0.228
-1.09508,-1.09538,-0.00100672,8.7873e-05,0,0.232
-1.09508,-1.09538,-0.0010413,-2.78417e-05,0,0.236
-1.09509,-1.09538,-0.00107644,2.28695e-05,0,0.24
-1.09509,-1.09538,-0.00111216,1.27155e-05,0,0.244
-1.0951,-1.09538,-0.00114844,-3.12797e-05,0,0.248
-1.0951,-1.09538,-0.00118528,-1.73915e-05,0,0.252
-1.09511,-1.09538,-0.00122269,-9.66968e-06,0,0.256
-1.09511,-1.09538,-0.00126067,7.13227e-05,0,0.26
-1.09512,-1.09538,-0.00129921,-3.70436e-05,0,0.264
-1.09512,-1.09538,-0.00133831,-2.05962e-05,0,0.268
-1.09513,-1.09538,-0.00137798,2.6898e-05,0,0.272
-1.09513,-1.09538,-0.00141821,1.49553e-05,0,0.276
-1.09514,-1.09538,-0.001459,-3.00344e-05,0,0.28
-1.09514,-1.09538,-0.00150035,5.99999e-05,0,0.284
-1.09515,-1.09538,-0.00154226,-4.98956e-06,0,0.288
-1.09516,-1.09538,-0.00158472,-2.7742e-06,0,0.292
-1.09516,-1.09538,-0.00162775,3.68071e-05,0,0.296
-1.09517,-1.09538,-0.00167133,-1.78848e-05,0,0.3
-1.09518,-1.09538,-0.00171547,-8.6643e-05,0,0.304
-1.09518,-1.09538,-0.00176017,-4.81735e-05,0,0.308
-1.09519,-1.09538,-0.00180542,4.99146e-05,0,0.312
-1.0952,-1.09538,-0.00185122,-4.89465e-05,0,0.316
-1.0952,-1.09538,-0.00189758,4.94848e-05,0,0.32
-1.09521,-1.09538,-0.00194449,2.75135e-05,0,0.324
-1.09522,-1.09538,-0.00199196,1.52975e-05,0,0.328
-1.09523,-1.09538,-0.00203997,8.50542e-06,0,0.332
-1.09524,-1.09538,-0.00208854,4.72901e-06,0,0.336
-1.09524,-1.09538,-0.00213765,-7.40697e-05,0,0.34
-1.09525,-1.09538,-0.00218732,3.55163e-05,0,0.344
-1.09526,-1.09538,-0.00223753,1.9747e-05,0,0.348
-1.09527,-1.09538,-0.00228829,1.09794e-05,0,0.352
