joint_pos, joint_vel_desired, joint_vel_filtered, current_time
6.32249e-05,0.00311487,-1.42017e-09,0.412
6.32249e-05,0.00317429,-7.89613e-10,0.416
6.32249e-05,0.00323424,-4.39025e-10,0.42
6.32249e-05,0.00329472,-2.44098e-10,0.424
6.32249e-05,0.00335574,-1.35718e-10,0.428
6.32249e-05,0.00341729,-7.54594e-11,0.432
6.32249e-05,0.00347938,-4.19554e-11,0.436
6.32249e-05,0.00354199,-2.33272e-11,0.44
6.32249e-05,0.00360514,-1.29699e-11,0.444
6.32249e-05,0.00366881,-7.21128e-12,0.448
6.39159e-05,0.00373301,7.6699e-05,0.452
6.32249e-05,0.00379774,-3.40544e-05,0.456
6.32249e-05,0.003863,-1.89342e-05,0.46
6.32249e-05,0.00392879,-1.05274e-05,0.464
6.32249e-05,0.0039951,-5.85325e-06,0.468
6.32249e-05,0.00406193,-3.25441e-06,0.472
6.32249e-05,0.00412929,-1.80945e-06,0.476
6.32249e-05,0.00419717,-1.00605e-06,0.48
6.32249e-05,0.00426558,-5.59366e-07,0.484
6.32249e-05,0.0043345,-3.11008e-07,0.488
6.32249e-05,0.00440395,-1.7292e-07,0.492
6.32249e-05,0.00447392,-9.61437e-08,0.496
6.32249e-05,0.00454441,-5.34559e-08,0.5
6.32249e-05,0.00461542,-2.97215e-08,0.504
6.32249e-05,0.00468694,-1.65251e-08,0.508
6.32249e-05,0.00475899,-9.18798e-09,0.512
6.32249e-05,0.00483154,-5.10852e-09,0.516
6.32249e-05,0.00490462,-2.84033e-09,0.52
6.32249e-05,0.00497821,-1.57923e-09,0.524
6.32249e-05,0.00505232,-8.7805e-10,0.528
6.32249e-05,0.00512693,-4.88196e-10,0.532
6.32249e-05,0.00520207,-2.71437e-10,0.536
6.32249e-05,0.00527771,-1.50919e-10,0.54
6.32249e-05,0.00535387,-8.39109e-11,0.544
6.32249e-05,0.00543053,-4.66544e-11,0.548
6.32249e-05,0.00550771,-2.59399e-11,0.552
6.32249e-05,0.00558539,-1.44226e-11,0.556
6.32249e-05,0.00566358,-8.01895e-12,0.56
