joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, propo_term_torque, deriv_term_torque, current_time
-1.28197,-1.28071,3.06438e-07,0,5,5,0,0.004
-1.28197,-1.28071,1.22525e-06,-7.6699e-05,4,5,0,0.008
-1.28197,-1.28071,2.75568e-06,-4.26447e-05,4,5,0,0.012
-1.28197,-1.28071,4.89696e-06,-2.37104e-05,4,5,0,0.016
-1.28197,-1.28071,7.64836e-06,-1.3183e-05,4,5,0,0.02
-1.28197,-1.28071,1.10091e-05,-7.32975e-06,4,5,0,0.024
-1.28197,-1.28071,1.49784e-05,3.42742e-05,5,5,0,0.028
-1.28197,-1.28071,1.95556e-05,1.90564e-05,5,5,0,0.032
-1.28197,-1.28071,2.47399e-05,1.05954e-05,4,5,0,0.036
-1.28197,-1.28071,3.05305e-05,5.89103e-06,4,5,0,0.04
-1.28197,-1.28071,3.69266e-05,3.27541e-06,4,5,0,0.044
-1.28197,-1.28071,4.39276e-05,1.82113e-06,4,5,0,0.048
-1.28197,-1.28071,5.15327e-05,1.01255e-06,4,5,0,0.052
-1.28197,-1.28071,5.9741e-05,5.62977e-07,4,5,0,0.056
-1.28197,-1.28071,6.85519e-05,3.13015e-07,4,5,0,0.06
-1.28197,-1.28071,7.79646e-05,-3.81755e-05,4,5,0,0.064
-1.28197,-1.28071,8.79784e-05,-2.12256e-05,4,5,0,0.068
-1.28197,-1.28071,9.85924e-05,2.65481e-05,4,5,0,0.072
-1.28197,-1.28071,0.000109806,1.47607e-05,4,5,0,0.076
-1.28197,-1.28071,0.000121618,8.20697e-06,4,5,0,0.08
-1.28197,-1.28071,0.000134029,-7.21359e-05,4,5,0,0.084
-1.28196,-1.28071,0.000147036,-1.75807e-06,4,5,0,0.088
-1.28196,-1.28071,0.00016064,-9.77489e-07,4,5,0,0.092
-1.28196,-1.28071,0.00017484,3.7806e-05,4,5,0,0.096
-1.28196,-1.28071,0.000189635,-1.73294e-05,4,5,0,0.1
-1.28196,-1.28071,0.000205024,-9.63512e-06,4,5,0,0.104
-1.28196,-1.28071,0.000221007,3.29924e-05,4,5,0,0.108
-1.28196,-1.28071,0.000237582,1.83438e-05,4,4,0,0.112
-1.28196,-1.28071,0.00025475,1.01991e-05,4,4,0,0.116
-1.28196,-1.28071,0.000272508,5.67072e-06,4,4,0,0.12
-1.28196,-1.28071,0.000290857,-3.51966e-05,4,4,0,0.124
-1.28196,-1.28071,0.000309796,-1.95693e-05,3,4,0,0.128
-1.28195,-1.28071,0.000329324,2.7469e-05,4,4,0,0.132
-1.28195,-1.28071,0.00034944,1.52728e-05,3,4,-1,0.136
-1.28195,-1.28071,0.000370143,8.49165e-06,3,4,-1,0.14
-1.28195,-1.28071,0.000391433,-3.36282e-05,3,4,-1,0.144
-1.28195,-1.28071,0.000413309,-1.86973e-05,3,4,-1,0.148
-1.28195,-1.28071,0.000435771,-1.03957e-05,3,4,-1,0.152
-1.28195,-1.28071,0.000458816,-5.77999e-06,3,4,-1,0.156
-1.28194,-1.28071,0.000482446,3.51358e-05,3,4,-1,0.16
-1.28194,-1.28071,0.000506658,1.95355e-05,3,4,-1,0.164
-1.28194,-1.28071,0.000531452,1.08618e-05,3,4,-1,0.168
-1.28194,-1.28071,0.000556828,6.03913e-06,3,4,-1,0.172
-1.28193,-1.28071,0.000582785,-3.49918e-05,3,4,-1,0.176
-1.28193,-1.28071,0.000609321,-1.94554e-05,2,4,-1,0.18
-1.28193,-1.28071,0.000636437,2.75323e-05,3,4,-1,0.184
-1.28193,-1.28071,0.000664131,-2.30416e-05,2,4,-2,0.188
-1.28192,-1.28071,0.000692403,-1.28111e-05,2,4,-2,0.192
-1.28192,-1.28071,0.000721251,-7.12297e-06,2,4,-2,0.196
-1.28192,-1.28071,0.000750676,-3.96037e-06,2,4,-2,0.2
-1.28192,-1.28071,0.000780676,3.61475e-05,2,4,-2,0.204
-1.28191,-1.28071,0.000811251,-1.82515e-05,2,4,-2,0.208
-1.28191,-1.28071,0.000842399,-1.01478e-05,2,4,-2,0.212
-1.28191,-1.28071,0.000874121,3.27073e-05,2,4,-2,0.216
-1.2819,-1.28071,0.000906415,-2.01642e-05,1,4,-2,0.22
-1.2819,-1.28071,0.000939281,-1.12113e-05,1,4,-2,0.224
-1.28189,-1.28071,0.000972717,-6.23349e-06,1,4,-2,0.228
-1.28189,-1.28071,0.00100672,3.48837e-05,1,4,-2,0.232
-1.28189,-1.28071,0.0010413,-1.89542e-05,1,4,-3,0.236
-1.28188,-1.28071,0.00107644,-1.05385e-05,1,4,-3,0.24
-1.28188,-1.28071,0.00111216,-5.85942e-06,1,4,-3,0.244
-1.28187,-1.28071,0.00114844,3.50917e-05,1,4,-3,0.248
-1.28187,-1.28071,0.00118528,1.9511e-05,1,4,-3,0.252
-1.28186,-1.28071,0.00122269,1.08481e-05,0,4,-3,0.256
-1.28186,-1.28071,0.00126067,6.03154e-06,0,4,-3,0.26
-1.28185,-1.28071,0.00129921,4.1703e-05,0,4,-3,0.264
-1.28185,-1.28071,0.00133831,-5.35121e-05,0,4,-4,0.268
-1.28184,-1.28071,0.00137798,-2.97527e-05,0,4,-4,0.272
-1.28184,-1.28071,0.00141821,2.1807e-05,0,4,-4,0.276
-1.28183,-1.28071,0.001459,-2.62248e-05,0,4,-4,0.28
-1.28183,-1.28071,0.00150035,2.37685e-05,0,4,-4,0.284
-1.28182,-1.28071,0.00154226,1.32153e-05,0,4,-4,0.288
-1.28181,-1.28071,0.00158472,-3.10018e-05,0,4,-4,0.292
-1.28181,-1.28071,0.00162775,-1.7237e-05,0,4,-4,0.296
-1.2818,-1.28071,0.00167133,2.87657e-05,0,4,-4,0.3
-1.28179,-1.28071,0.00171547,-2.23558e-05,0,4,-5,0.304
-1.28179,-1.28071,0.00176017,2.59197e-05,0,4,-5,0.308
-1.28178,-1.28071,0.00180542,-2.39382e-05,-1,4,-5,0.312
-1.28177,-1.28071,0.00185122,2.50399e-05,-1,4,-5,0.316
-1.28176,-1.28071,0.00189758,1.39222e-05,-1,4,-5,0.32
-1.28176,-1.28071,0.00194449,7.74073e-06,-1,4,-5,0.324
-1.28175,-1.28071,0.00199196,-3.40457e-05,-1,4,-6,0.328
