joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, propo_term_torque, deriv_term_torque, current_time
-1.24438,-1.24344,3.06438e-07,0,4,4,0,0.004
-1.24438,-1.24344,1.22525e-06,0,4,4,0,0.008
-1.24438,-1.24344,2.75568e-06,7.6699e-05,4,4,0,0.012
-1.24438,-1.24344,4.89696e-06,-3.40544e-05,4,4,0,0.016
-1.24438,-1.24344,7.64836e-06,-0.000133983,3,4,0,0.02
-1.24438,-1.24344,1.10091e-05,-0.000266242,3,4,0,0.024
-1.24438,-1.24345,1.49784e-05,-0.000416477,2,4,-1,0.028
-1.24438,-1.24345,1.95556e-05,-0.000500008,2,4,-1,0.032
-1.24438,-1.24345,2.47399e-05,-0.000469752,2,4,-1,0.036
-1.24438,-1.24345,3.05305e-05,-0.000529629,2,4,-1,0.04
-1.24438,-1.24345,3.69266e-05,-0.000486221,2,4,-1,0.044
-1.24438,-1.24345,4.39276e-05,-0.000385387,2,4,-1,0.048
-1.24438,-1.24346,5.15327e-05,-0.000329324,3,4,-1,0.052
-1.24438,-1.24346,5.9741e-05,-0.000259803,3,4,-1,0.056
-1.24438,-1.24346,6.85519e-05,-0.0001828,3,4,0,0.06
-1.24438,-1.24346,7.79646e-05,-0.000139986,3,4,0,0.064
-1.24438,-1.24346,8.79784e-05,-7.78324e-05,3,4,0,0.068
-1.24437,-1.24346,9.85924e-05,-4.32748e-05,3,4,0,0.072
-1.24437,-1.24346,0.000109806,-2.40608e-05,3,4,0,0.076
-1.24437,-1.24346,0.000121618,-1.33778e-05,3,4,0,0.08
-1.24437,-1.24346,0.000134029,-7.43806e-06,3,4,0,0.084
-1.24437,-1.24346,0.000147036,-4.13556e-06,3,4,0,0.088
-1.24437,-1.24346,0.00016064,-2.29937e-06,3,4,0,0.092
-1.24437,-1.24346,0.00017484,-1.27845e-06,3,4,0,0.096
-1.24437,-1.24346,0.000189635,3.76387e-05,3,4,0,0.1
-1.24437,-1.24346,0.000205024,-1.74224e-05,3,4,0,0.104
-1.24437,-1.24346,0.000221007,2.86627e-05,3,4,0,0.108
-1.24437,-1.24346,0.000237582,-6.07626e-05,3,4,-1,0.112
-1.24437,-1.24346,0.00025475,-3.3784e-05,3,4,-1,0.116
-1.24437,-1.24346,0.000272508,-1.87839e-05,3,4,-1,0.12
-1.24436,-1.24346,0.000290857,-1.04438e-05,3,4,-1,0.124
-1.24436,-1.24346,0.000309796,-5.80678e-06,3,4,-1,0.128
-1.24436,-1.24346,0.000329324,-3.22857e-06,3,4,-1,0.132
-1.24436,-1.24346,0.00034944,-1.79508e-06,3,4,-1,0.136
-1.24436,-1.24346,0.000370143,-9.98067e-07,3,4,-1,0.14
-1.24436,-1.24346,0.000391433,-5.54925e-07,2,4,-1,0.144
-1.24436,-1.24346,0.000413309,-3.08539e-07,2,4,-1,0.148
-1.24435,-1.24346,0.000435771,-3.85211e-05,2,4,-1,0.152
-1.24435,-1.24346,0.000458816,1.69318e-05,2,4,-1,0.156
-1.24435,-1.24346,0.000482446,9.41408e-06,2,4,-1,0.16
-1.24435,-1.24346,0.000506658,5.23423e-06,2,4,-1,0.164
-1.24435,-1.24346,0.000531452,2.91023e-06,2,4,-1,0.168
-1.24434,-1.24346,0.000556828,-3.67314e-05,2,4,-2,0.172
-1.24434,-1.24346,0.000582785,1.79268e-05,2,4,-1,0.176
-1.24434,-1.24346,0.000609321,9.96732e-06,2,4,-2,0.18
-1.24434,-1.24346,0.000636437,5.54183e-06,2,4,-2,0.184
-1.24434,-1.24346,0.000664131,3.08126e-06,1,4,-2,0.188
-1.24433,-1.24346,0.000692403,1.71318e-06,1,4,-2,0.192
-1.24433,-1.24346,0.000721251,9.52528e-07,1,4,-2,0.196
-1.24433,-1.24346,0.000750676,5.29606e-07,1,4,-2,0.2
-1.24432,-1.24346,0.000780676,2.94461e-07,1,4,-2,0.204
-1.24432,-1.24346,0.000811251,1.6372e-07,1,4,-2,0.208
-1.24432,-1.24346,0.000842399,9.10284e-08,1,4,-2,0.212
-1.24431,-1.24346,0.000874121,5.06118e-08,1,4,-3,0.216
-1.24431,-1.24346,0.000906415,2.81402e-08,0,4,-3,0.22
-1.24431,-1.24346,0.000939281,1.56459e-08,0,4,-3,0.224
-1.2443,-1.24346,0.000972717,8.69913e-09,0,4,-3,0.228
-1.2443,-1.24346,0.00100672,4.83672e-09,0,4,-3,0.232
-1.24429,-1.24346,0.0010413,2.68922e-09,0,4,-3,0.236
-1.24429,-1.24346,0.00107644,7.67005e-05,0,4,-3,0.24
-1.24429,-1.24346,0.00111216,-3.40535e-05,0,3,-4,0.244
-1.24428,-1.24346,0.00114844,-1.89338e-05,0,3,-4,0.248
-1.24428,-1.24346,0.00118528,-1.05272e-05,0,3,-4,0.252
-1.24427,-1.24346,0.00122269,-5.85311e-06,0,3,-4,0.256
-1.24427,-1.24346,0.00126067,7.34447e-05,0,3,-4,0.26
-1.24426,-1.24346,0.00129921,-3.58638e-05,0,3,-4,0.264
-1.24426,-1.24346,0.00133831,-1.99403e-05,0,3,-4,0.268
-1.24425,-1.24346,0.00137798,6.56122e-05,0,3,-4,0.272
-1.24425,-1.24346,0.00141821,-7.85681e-05,-1,3,-5,0.276
-1.24424,-1.24346,0.001459,-4.36839e-05,-1,3,-5,0.28
-1.24423,-1.24346,0.00150035,1.40613e-05,-1,3,-5,0.284
-1.24423,-1.24346,0.00154226,-3.05314e-05,-1,3,-5,0.288
-1.24422,-1.24346,0.00158472,5.97235e-05,-1,3,-5,0.292
-1.24422,-1.24346,0.00162775,3.32063e-05,-1,3,-5,0.296
-1.24421,-1.24346,0.00167133,-5.82363e-05,-2,3,-6,0.3
-1.2442,-1.24346,0.00171547,4.43196e-05,-2,3,-5,0.304
-1.24419,-1.24346,0.00176017,2.46417e-05,-2,3,-6,0.308
-1.24419,-1.24346,0.00180542,1.37008e-05,-2,3,-6,0.312
