joint_pos_desired, joint_pos, joint_vel_desired, joint_vel_filtered, target_torque, propo_term_torque, deriv_term_torque, current_time
-1.268,-1.26709,3.06438e-07,0,4,4,0,0.004
-1.268,-1.26709,1.22525e-06,0,4,4,0,0.008
-1.268,-1.26709,2.75568e-06,0,4,4,0,0.012
-1.268,-1.26709,4.89696e-06,0,4,4,0,0.016
-1.268,-1.26709,7.64836e-06,-0.000153398,4,4,0,0.02
-1.268,-1.2671,1.10091e-05,-0.000277037,3,4,-1,0.024
-1.268,-1.2671,1.49784e-05,-0.00038413,3,4,-1,0.028
-1.268,-1.2671,1.95556e-05,-0.000405324,3,4,-1,0.032
-1.268,-1.2671,2.47399e-05,-0.000378758,3,4,-1,0.036
-1.268,-1.2671,3.05305e-05,-0.000325638,3,4,-1,0.04
-1.268,-1.2671,3.69266e-05,-0.000219404,4,4,0,0.044
-1.268,-1.2671,4.39276e-05,-0.000121989,4,4,0,0.048
-1.268,-1.2671,5.15327e-05,-6.78257e-05,4,4,0,0.052
-1.268,-1.2671,5.9741e-05,-3.77111e-05,4,4,0,0.056
-1.268,-1.2671,6.85519e-05,-2.09674e-05,4,4,0,0.06
-1.268,-1.2671,7.79646e-05,-1.16579e-05,4,4,0,0.064
-1.268,-1.2671,8.79784e-05,-6.48177e-06,4,4,0,0.068
-1.268,-1.2671,9.85924e-05,-3.60387e-06,4,4,0,0.072
-1.268,-1.2671,0.000109806,-2.00375e-06,4,4,0,0.076
-1.26799,-1.2671,0.000121618,-1.11408e-06,4,4,0,0.08
-1.26799,-1.2671,0.000134029,-6.19431e-07,4,4,0,0.084
-1.26799,-1.2671,0.000147036,-3.44404e-07,4,4,0,0.088
-1.26799,-1.2671,0.00016064,-1.91488e-07,4,4,0,0.092
-1.26799,-1.2671,0.00017484,-1.06468e-07,4,4,0,0.096
-1.26799,-1.2671,0.000189635,-5.9196e-08,4,4,0,0.1
-1.26799,-1.2671,0.000205024,-3.2913e-08,4,4,0,0.104
